,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
162,2022-02-24,961.0598711602287,837.70664889387,1060.0088877635606,961.0598711602287,961.0598711602287,-15.316795300323061,-15.316795300323061,-15.316795300323061,-15.316795300323061,-15.316795300323061,-15.316795300323061,0.0,0.0,0.0,945.7430758599056
163,2022-02-25,960.0390369341501,833.440136098823,1056.963763359154,960.0390369341501,960.0390369341501,-19.723812365579924,-19.723812365579924,-19.723812365579924,-19.723812365579924,-19.723812365579924,-19.723812365579924,0.0,0.0,0.0,940.3152245685702
164,2022-02-28,956.9765342559143,845.69535555686,1071.281891609413,956.9765342559143,956.9765342559143,-3.647595290447949,-3.647595290447949,-3.647595290447949,-3.647595290447949,-3.647595290447949,-3.647595290447949,0.0,0.0,0.0,953.3289389654664
165,2022-03-01,955.9557000298357,833.1261686244377,1056.0887287482506,955.9557000298357,955.9557000298357,-8.939251645299338,-8.939251645299338,-8.939251645299338,-8.939251645299338,-8.939251645299338,-8.939251645299338,0.0,0.0,0.0,947.0164483845364
166,2022-03-02,954.9348658037572,834.3589991617456,1056.9710404627767,954.9348658037572,954.9348658037572,-6.863497168397884,-6.863497168397884,-6.863497168397884,-6.863497168397884,-6.863497168397884,-6.863497168397884,0.0,0.0,0.0,948.0713686353594
167,2022-03-03,953.9140315776785,823.8286673983602,1048.0780304315567,953.9140315776785,953.9140315776785,-15.316795300265007,-15.316795300265007,-15.316795300265007,-15.316795300265007,-15.316795300265007,-15.316795300265007,0.0,0.0,0.0,938.5972362774136
168,2022-03-04,952.8931973664581,825.5909898109898,1053.2109291557847,952.8931973664581,952.8931973664581,-19.723812365563305,-19.723812365563305,-19.723812365563305,-19.723812365563305,-19.723812365563305,-19.723812365563305,0.0,0.0,0.0,933.1693850008949
169,2022-03-07,949.8306947327968,844.1655480650995,1057.557035748485,949.8306947327968,949.8306947327968,-3.6475952904437228,-3.6475952904437228,-3.6475952904437228,-3.6475952904437228,-3.6475952904437228,-3.6475952904437228,0.0,0.0,0.0,946.1830994423531
170,2022-03-08,948.8098605215764,828.0193675675209,1041.1498989426464,948.8098605215764,948.8098605215764,-8.93925164528526,-8.93925164528526,-8.93925164528526,-8.93925164528526,-8.93925164528526,-8.93925164528526,0.0,0.0,0.0,939.8706088762912
171,2022-03-09,947.789026310356,827.0208476562161,1050.24821599879,947.789026310356,947.789026310356,-6.863497168386237,-6.863497168386237,-6.863497168386237,-6.863497168386237,-6.863497168386237,-6.863497168386237,0.0,0.0,0.0,940.9255291419697
172,2022-03-10,946.7681920991356,815.4349770268589,1047.5993240467,946.7681920991356,946.7681920991356,-15.316795300275718,-15.316795300275718,-15.316795300275718,-15.316795300275718,-15.316795300275718,-15.316795300275718,0.0,0.0,0.0,931.4513967988598
173,2022-03-11,945.7473578879152,810.4613192550491,1032.3528767115627,945.7473578879152,945.7473578879152,-19.72381236553404,-19.72381236553404,-19.72381236553404,-19.72381236553404,-19.72381236553404,-19.72381236553404,0.0,0.0,0.0,926.0235455223811
174,2022-03-14,942.6848552542539,824.821563962066,1045.5992896178511,942.6848552542539,942.6848552542539,-3.647595290359513,-3.647595290359513,-3.647595290359513,-3.647595290359513,-3.647595290359513,-3.647595290359513,0.0,0.0,0.0,939.0372599638944
175,2022-03-15,941.6640210430334,823.2880932858085,1039.8396544977186,941.6640210430334,941.6640210430334,-8.9392516453001,-8.9392516453001,-8.9392516453001,-8.9392516453001,-8.9392516453001,-8.9392516453001,0.0,0.0,0.0,932.7247693977332
176,2022-03-16,940.6431868157099,820.186535879441,1055.5770228053448,940.6431868157099,940.6431868157099,-6.863497168394487,-6.863497168394487,-6.863497168394487,-6.863497168394487,-6.863497168394487,-6.863497168394487,0.0,0.0,0.0,933.7796896473154
177,2022-03-17,939.6223525883863,820.8629788502038,1037.8316217751803,939.6223525883863,939.6223525883863,-15.316795300286426,-15.316795300286426,-15.316795300286426,-15.316795300286426,-15.316795300286426,-15.316795300286426,0.0,0.0,0.0,924.3055572880999
178,2022-03-18,938.6015183610629,809.4991274296431,1024.7113992157806,938.6015183610629,938.6015183610629,-19.723812365517418,-19.723812365517418,-19.723812365517418,-19.723812365517418,-19.723812365517418,-19.723812365517418,0.0,0.0,0.0,918.8777059955454
179,2022-03-21,935.5390156790922,821.1946296260093,1045.346181825733,935.5390156790922,935.5390156790922,-3.647595290387024,-3.647595290387024,-3.647595290387024,-3.647595290387024,-3.647595290387024,-3.647595290387024,0.0,0.0,0.0,931.8914203887052
180,2022-03-22,934.5181814517688,819.3810660355625,1036.2802969658665,934.5181814517688,934.5181814517688,-8.939251645257102,-8.939251645257102,-8.939251645257102,-8.939251645257102,-8.939251645257102,-8.939251645257102,0.0,0.0,0.0,925.5789298065117
181,2022-03-23,933.4973472244452,823.1278970757231,1042.2337370328348,933.4973472244452,933.4973472244452,-6.863497168402738,-6.863497168402738,-6.863497168402738,-6.863497168402738,-6.863497168402738,-6.863497168402738,0.0,0.0,0.0,926.6338500560424
182,2022-03-24,932.4765129971217,805.7587849120521,1029.807096888503,932.4765129971217,932.4765129971217,-15.316795300304937,-15.316795300304937,-15.316795300304937,-15.316795300304937,-15.316795300304937,-15.316795300304937,0.0,0.0,0.0,917.1597176968168
183,2022-03-25,931.4556787697984,804.675615565123,1016.9269167438506,931.4556787697984,931.4556787697984,-19.723812365612908,-19.723812365612908,-19.723812365612908,-19.723812365612908,-19.723812365612908,-19.723812365612908,0.0,0.0,0.0,911.7318664041854
184,2022-03-28,928.3931621293738,813.9917899134989,1031.8642795960523,928.3931621293738,928.3931621293738,-3.6475952904145306,-3.6475952904145306,-3.6475952904145306,-3.6475952904145306,-3.6475952904145306,-3.6475952904145306,0.0,0.0,0.0,924.7455668389592
185,2022-03-29,927.3723232492323,801.9881881314091,1034.1221750778843,927.3723232492323,927.3723232492323,-8.93925164527194,-8.93925164527194,-8.93925164527194,-8.93925164527194,-8.93925164527194,-8.93925164527194,0.0,0.0,0.0,918.4330716039603
186,2022-03-30,926.3514843690907,809.2635662886457,1027.5324948294276,926.3514843690907,926.3514843690907,-6.8634971683910955,-6.8634971683910955,-6.8634971683910955,-6.8634971683910955,-6.8634971683910955,-6.8634971683910955,0.0,0.0,0.0,919.4879872006996
187,2022-03-31,925.3306454889491,784.5214396797347,1018.6184032966877,925.3306454889491,925.3306454889491,-15.316795300323445,-15.316795300323445,-15.316795300323445,-15.316795300323445,-15.316795300323445,-15.316795300323445,0.0,0.0,0.0,910.0138501886257
188,2022-04-01,924.3098066088078,785.979624489376,1009.5995487168882,924.3098066088078,924.3098066088078,-19.723812365589964,-19.723812365589964,-19.723812365589964,-19.723812365589964,-19.723812365589964,-19.723812365589964,0.0,0.0,0.0,904.5859942432178
189,2022-04-04,921.2472899683833,805.872273400778,1031.6322599623156,921.2472899683833,921.2472899683833,-3.6475952904103064,-3.6475952904103064,-3.6475952904103064,-3.6475952904103064,-3.6475952904103064,-3.6475952904103064,0.0,0.0,0.0,917.5996946779729
190,2022-04-05,920.2264510882417,791.9758355673224,1014.3051052024676,920.2264510882417,920.2264510882417,-8.939251645299146,-8.939251645299146,-8.939251645299146,-8.939251645299146,-8.939251645299146,-8.939251645299146,0.0,0.0,0.0,911.2871994429426
191,2022-04-06,919.2056122081002,805.4811473605299,1020.9769355492509,919.2056122081002,919.2056122081002,-6.863497168378969,-6.863497168378969,-6.863497168378969,-6.863497168378969,-6.863497168378969,-6.863497168378969,0.0,0.0,0.0,912.3421150397212
192,2022-04-07,917.1831516783528,800.4438936157709,1016.9014981628931,917.1831516783528,917.1831516783528,-15.316795300334155,-15.316795300334155,-15.316795300334155,-15.316795300334155,-15.316795300334155,-15.316795300334155,0.0,0.0,0.0,901.8663563780186
193,2022-04-08,915.1606911486053,779.2336852850556,1011.0796313879641,915.1606911486053,915.1606911486053,-19.72381236556702,-19.72381236556702,-19.72381236556702,-19.72381236556702,-19.72381236556702,-19.72381236556702,0.0,0.0,0.0,895.4368787830383
194,2022-04-11,909.0933095593637,794.5791115618089,1014.7709742871284,909.0933095593637,909.0933095593637,-3.647595290406084,-3.647595290406084,-3.647595290406084,-3.647595290406084,-3.647595290406084,-3.647595290406084,0.0,0.0,0.0,905.4457142689575
195,2022-04-12,907.0708490296162,781.3565134595722,1006.80631260621,907.0708490296162,907.0708490296162,-8.939251645285069,-8.939251645285069,-8.939251645285069,-8.939251645285069,-8.939251645285069,-8.939251645285069,0.0,0.0,0.0,898.1315973843311
196,2022-04-13,905.048388499869,796.4947244055634,1009.742185825248,905.048388499869,905.048388499869,-6.863497168407596,-6.863497168407596,-6.863497168407596,-6.863497168407596,-6.863497168407596,-6.863497168407596,0.0,0.0,0.0,898.1848913314615
197,2022-04-14,903.0259279701216,775.9367993881817,1000.661691054287,903.0259279701216,903.0259279701216,-15.316795300344866,-15.316795300344866,-15.316795300344866,-15.316795300344866,-15.316795300344866,-15.316795300344866,0.0,0.0,0.0,887.7091326697767
198,2022-04-18,894.9360858511325,784.8440035033218,1003.3706399217893,894.9360858511325,894.9360858511325,-3.6475952904335913,-3.6475952904335913,-3.6475952904335913,-3.6475952904335913,-3.6475952904335913,-3.6475952904335913,0.0,0.0,0.0,891.2884905606988
199,2022-04-19,892.913625321385,763.7182087445609,991.4331915045827,892.913625321385,892.913625321385,-8.939251645270987,-8.939251645270987,-8.939251645270987,-8.939251645270987,-8.939251645270987,-8.939251645270987,0.0,0.0,0.0,883.9743736761139
200,2022-04-20,890.0706815587062,776.0223588467744,997.784193417887,890.0706815587062,890.0706815587062,-6.863497168395471,-6.863497168395471,-6.863497168395471,-6.863497168395471,-6.863497168395471,-6.863497168395471,0.0,0.0,0.0,883.2071843903107
201,2022-04-21,887.2277377960271,751.3944285209524,983.2499178622313,887.2277377960271,887.2277377960271,-15.316795300286817,-15.316795300286817,-15.316795300286817,-15.316795300286817,-15.316795300286817,-15.316795300286817,0.0,0.0,0.0,871.9109424957403
202,2022-04-22,884.3847940333482,751.998842609603,986.318377934583,884.3847940333482,884.3847940333482,-19.723812365639564,-19.723812365639564,-19.723812365639564,-19.723812365639564,-19.723812365639564,-19.723812365639564,0.0,0.0,0.0,864.6609816677086
203,2022-04-25,875.8559627453111,764.9346217849852,986.0836837821735,875.8559627453111,875.8559627453111,-3.6475952904611004,-3.6475952904611004,-3.6475952904611004,-3.6475952904611004,-3.6475952904611004,-3.6475952904611004,0.0,0.0,0.0,872.20836745485
204,2022-04-26,873.013018982632,747.1294001253921,976.4876453862296,873.013018982632,873.013018982632,-8.939251645298194,-8.939251645298194,-8.939251645298194,-8.939251645298194,-8.939251645298194,-8.939251645298194,0.0,0.0,0.0,864.0737673373338
205,2022-04-27,870.1700752199532,748.8810870536305,979.3853262692976,870.1700752199532,870.1700752199532,-6.863497168403724,-6.863497168403724,-6.863497168403724,-6.863497168403724,-6.863497168403724,-6.863497168403724,0.0,0.0,0.0,863.3065780515495
206,2022-04-28,867.3271314572742,742.2325918640843,966.422719309371,867.3271314572742,867.3271314572742,-15.316795300305325,-15.316795300305325,-15.316795300305325,-15.316795300305325,-15.316795300305325,-15.316795300305325,0.0,0.0,0.0,852.0103361569688
207,2022-04-29,864.4841876945952,735.3445621856687,957.332560509692,864.4841876945952,864.4841876945952,-19.723812365622944,-19.723812365622944,-19.723812365622944,-19.723812365622944,-19.723812365622944,-19.723812365622944,0.0,0.0,0.0,844.7603753289723
208,2022-05-02,855.955356406558,732.157637168663,961.531020727654,855.955356406558,855.955356406558,-3.6475952903768922,-3.6475952903768922,-3.6475952903768922,-3.6475952903768922,-3.6475952903768922,-3.6475952903768922,0.0,0.0,0.0,852.3077611161812
209,2022-05-03,853.1124126438792,725.3725076102428,952.7079714771072,853.1124126438792,853.1124126438792,-8.939251645284115,-8.939251645284115,-8.939251645284115,-8.939251645284115,-8.939251645284115,-8.939251645284115,0.0,0.0,0.0,844.1731609985951
210,2022-05-04,850.2694688812002,732.5833584968397,957.1517577827126,850.2694688812002,850.2694688812002,-6.863497168391596,-6.863497168391596,-6.863497168391596,-6.863497168391596,-6.863497168391596,-6.863497168391596,0.0,0.0,0.0,843.4059717128085
211,2022-05-05,847.4265251185212,712.0063965079316,936.4266298211927,847.4265251185212,847.4265251185212,-15.316795300308236,-15.316795300308236,-15.316795300308236,-15.316795300308236,-15.316795300308236,-15.316795300308236,0.0,0.0,0.0,832.1097298182129
212,2022-05-06,844.5835813558422,709.3375970902878,935.6785654567146,844.5835813558422,844.5835813558422,-19.72381236559368,-19.72381236559368,-19.72381236559368,-19.72381236559368,-19.72381236559368,-19.72381236559368,0.0,0.0,0.0,824.8597689902485
213,2022-05-09,836.0547500678053,716.027555845802,943.4408660691835,836.0547500678053,836.0547500678053,-3.6475952904043996,-3.6475952904043996,-3.6475952904043996,-3.6475952904043996,-3.6475952904043996,-3.6475952904043996,0.0,0.0,0.0,832.4071547774009
214,2022-05-10,833.2118063051263,713.1040426816489,937.4227300327537,833.2118063051263,833.2118063051263,-8.939251645298953,-8.939251645298953,-8.939251645298953,-8.939251645298953,-8.939251645298953,-8.939251645298953,0.0,0.0,0.0,824.2725546598274
215,2022-05-11,830.3688625424473,717.5269749445624,936.6469880403521,830.3688625424473,830.3688625424473,-6.863497168399849,-6.863497168399849,-6.863497168399849,-6.863497168399849,-6.863497168399849,-6.863497168399849,0.0,0.0,0.0,823.5053653740475
216,2022-05-12,827.5259187797682,704.6457795011298,917.2254989340139,827.5259187797682,827.5259187797682,-15.316795300326746,-15.316795300326746,-15.316795300326746,-15.316795300326746,-15.316795300326746,-15.316795300326746,0.0,0.0,0.0,812.2091234794415
217,2022-05-13,824.6829750170892,697.8386598079644,918.6526556223849,824.6829750170892,824.6829750170892,-19.723812365577057,-19.723812365577057,-19.723812365577057,-19.723812365577057,-19.723812365577057,-19.723812365577057,0.0,0.0,0.0,804.9591626515122
218,2022-05-16,816.1541437290523,698.4080371871321,927.8209437071337,816.1541437290523,816.1541437290523,-3.6475952904319064,-3.6475952904319064,-3.6475952904319064,-3.6475952904319064,-3.6475952904319064,-3.6475952904319064,0.0,0.0,0.0,812.5065484386204
219,2022-05-17,813.3111999663734,693.8572059670659,912.1711303197316,813.3111999663734,813.3111999663734,-8.939251645255956,-8.939251645255956,-8.939251645255956,-8.939251645255956,-8.939251645255956,-8.939251645255956,0.0,0.0,0.0,804.3719483211174
220,2022-05-18,810.4682562036943,690.290086570619,914.0768998350633,810.4682562036943,810.4682562036943,-6.863497168388202,-6.863497168388202,-6.863497168388202,-6.863497168388202,-6.863497168388202,-6.863497168388202,0.0,0.0,0.0,803.6047590353061
